Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Ariana Grande - No Tears Left To Cry|4739.5|196|375
2|Drake - Nice For What|851.0|11|98
3|Calvin Harris & Dua Lipa - One Kiss|825.0|2|99
4|Nicki Minaj - Chun-Li|585.5|3|74
5|Cardi B - I Like It (feat. Bad Bunny & J Balvin)|453.0|2|60
6|Anne-Marie - 2002|383.0|1|45
7|Nicki Minaj - Barbie Tingz|373.0|3|49
8|Sugarland - Babe (feat. Taylor Swift)|360.5|13|41
9|Janelle Monáe - Pynk (feat. Grimes)|304.5|5|36
10|Kimbra - Lightyears|280.5|1|42
11|Avicii - Levels|279.5|1|48
12|Kacey Musgraves - High Horse|279.0|0|39
12|Taylor Swift - Delicate|279.0|4|36
14|Lykke Li - Hard Rain|278.0|3|28
15|Kimbra - Top Of The World|276.0|2|44
16|Kimbra - The Good War|269.5|1|47
17|Kimbra - Recovery|261.0|1|45
18|Ariana Grande - Into You|258.0|1|34
19|Kimbra - Like They Do On The TV|257.0|1|44
20|Lykke Li - Deep End|255.0|2|28
21|Billie Eilish & Khalid - Lovely|248.5|5|31
22|Khalid - OTW (feat. 6LACK & Ty Dolla $ign)|247.5|3|28
23|Kimbra - Black Sky|244.0|4|36
24|Janelle Monáe - I Like That|238.5|1|32
25|Kimbra - Past Love|233.0|1|38
26|Avicii - Without You (feat. Sandro Cavazza)|231.5|2|30
27|Kimbra - Everybody Knows|221.5|1|41
27|J. Cole - 1985|221.5|3|29
29|Janelle Monáe - Make Me Feel|218.0|0|44
30|Avicii - Lonely Together (feat. Rita Ora)|210.5|2|27
31|Kimbra - Right Direction|209.5|1|35
32|Zedd, Maren Morris & Grey - The Middle|209.0|2|31
33|Charlie Puth - Done For Me (feat. Kehlani)|198.0|0|26
34|Kimbra - Human|195.5|0|36
35|The Chainsmokers & Drew Love - Somebody|188.0|1|25
36|Sigrid - High Five|186.0|1|17
37|J. Cole - KOD|183.5|1|31
38|Hayley Kiyoko - What I Need (feat. Kehlani)|182.5|2|26
39|Avicii - Wake Me Up|167.5|1|32
40|Liam Payne & J Balvin - Familiar|164.0|1|20
41|The Weeknd - Call Out My Name|158.5|0|25
42|Bebe Rexha - Ferrari|141.0|3|15
43|Kimbra - Version Of Me|135.0|1|28
44|Avicii - Waiting For Love|131.5|1|22
45|Cardi B - Be Careful|129.5|1|18
46|J. Cole - ATM|128.5|1|23
47|Hayley Kiyoko - Curious|127.5|1|22
48|Post Malone - Psycho (feat. Ty Dolla $ign)|124.5|0|21
49|Florence + The Machine - Sky Full Of Song|123.5|2|16
50|Azealia Banks - Anna Wintour|120.0|0|18
51|Avicii - Hey Brother|116.0|0|22
52|Let's Eat Grandma - It's Not Just Me|111.5|1|12
53|Kali Uchis - In My Dreams|111.0|2|14
54|Kimbra - Real Life|109.5|1|23
55|Lorde - Green Light|108.0|1|23
56|Lorde - Ribs|105.5|0|17
56|TWICE - What is Love?|105.5|2|10
58|Zayn - Let Me|104.5|0|13
59|Cardi B - Bartier Cardi (feat. 21 Savage)|104.0|0|18
60|J. Cole - Kevin's Heart|103.5|2|19
61|Marshmello & Anne-Marie - Friends|102.0|1|17
62|J. Cole - Motiv8|101.5|0|17
63|bazzi - Mine|101.0|1|13
63|Bebe Rexha - 2 Souls on Fire (feat. Quavo)|101.0|0|10
65|Troye Sivan - My My My!|99.0|1|13
66|Ariana Grande - Greedy|96.5|1|16
66|Cardi B - I Do (feat. SZA)|96.5|0|12
66|Taylor Swift - September - Recorded at The Tracking Room Nashville|96.5|0|11
69|Kim Petras - Heart To Break|92.5|0|16
70|Troye Sivan - Strawberries & Cigarettes|91.0|0|10
70|Bleachers - Rollercoaster|91.0|0|9
72|Kali Uchis - Dead To Me|89.0|2|12
73|Father John Misty - Disappointing Diamonds Are The Rarest Of Them All|87.5|1|11
74|Khalid & Normani - Love Lies|87.0|0|13
75|Avicii - The Nights|86.5|0|15
75|Shawn Mendes - In My Blood|86.5|0|14
77|Kali Uchis - Just A Stranger (feat. Steve Lacy)|86.0|0|18
78|Lorde - Perfect Places|85.0|0|14
79|Lil Pump - Esskeetit|83.0|1|10
80|Carly Rae Jepsen - Run Away With Me|81.0|1|14
80|The Chainsmokers - Everybody Hates Me|81.0|0|13
82|Kendrick Lamar & SZA - All The Stars|80.5|0|17
83|Kali Uchis - Nuestro Planeta (feat. Reykon)|80.0|0|11
84|Taylor Swift - Getaway Car|78.5|0|9
85|Charli XCX - Backseat (feat. Carly Rae Jepsen)|78.0|0|12
85|Kim Petras - I Don't Want It At All|78.0|0|10
85|Anderson .Paak - 'Til It's Over|78.0|1|9
88|KYLE - Playinwitme (feat. Kehlani)|77.5|0|11
89|Kali Uchis - After The Storm (feat. Tyler, The Creator & Bootsy Collins)|77.0|0|15
89|Cardi B - Bickenhead|77.0|0|13
89|Ariana Grande - Dangerous Woman|77.0|0|10
92|Bishop Briggs - Hallowed Ground|76.5|1|8
93|Lorde - Supercut|76.0|1|16
94|Charli XCX - Unlock It (feat. Kim Petras & Jay Park)|75.5|1|13
94|Hayley Kiyoko - Feelings|75.5|0|9
96|Ariana Grande - Be Alright|73.0|0|13
96|Rae Sremmurd, Swae Lee & Slim Jxmmi - Powerglide (feat. Juicy J)|73.0|0|10
98|Cardi B - Thru Your Phone|72.5|1|8
99|Kylie Minogue - Raining Glitter|71.5|0|8
100|Ariana Grande - One Last Time|71.0|0|14
101|Dua Lipa - IDGAF|69.5|0|13
101|Lorde - Homemade Dynamite|69.5|0|10
103|Kali Uchis - Miami (feat. BIA)|69.0|1|14
103|Charli XCX - I Got It (feat. Brooke Candy, CupcakKe & Pabllo Vittar)|69.0|0|13
105|Kacey Musgraves - Oh, What A World|68.5|0|15
106|Lorde - The Louvre|68.0|0|13
106|Tinashe - Joyride|68.0|0|9
108|Camila Cabello - Havana (feat. Young Thug)|67.5|0|19
108|Paramore - Hard Times|67.5|0|17
108|Kacey Musgraves - Space Cowboy|67.5|0|12
111|Shawn Mendes - Lost In Japan|66.0|0|12
112|Cardi B - Money Bag|65.5|0|12
112|Camila Cabello - Never Be The Same|65.5|0|10
112|Cardi B - Get Up 10|65.5|1|8
115|Cardi B - Ring (feat. Kehlani)|65.0|0|11
115|A$AP Rocky - A$AP Forever (feat. Moby)|65.0|0|9
117|Kacey Musgraves - Lonely Weekend|64.0|0|13
118|The Weeknd - Wasted Times|63.5|0|11
118|Elohim - Half Love|63.5|1|6
120|Bishop Briggs - Tempt My Trouble|63.0|0|7
121|Young Thug - Anybody (feat. Nicki Minaj)|62.5|0|7
122|Ariana Grande - Moonlight|62.0|0|8
123|J. Cole - The Cut Off (feat. kiLL edward)|60.5|0|15
123|Janelle Monáe - Django Jane|60.5|0|8
125|Drake - God's Plan|60.0|0|17
126|Ariana Grande - Touch It|59.5|0|6
127|Qveen Herby - SADE IN THE 90s|59.0|0|7
128|Kacey Musgraves - Butterflies|58.0|0|14
128|Taylor Swift - I Did Something Bad|58.0|1|8
130|J. Cole - Once an Addict - Interlude|57.5|0|11
130|Becky G - Sin Pijama|57.5|0|8
130|Taylor Swift - ...Ready For It?|57.5|0|8
133|J. Cole - Photograph|57.0|0|16
133|St. Vincent - Los Ageless|57.0|0|9
133|King Princess - Talia|57.0|1|6
136|Tyler, The Creator - OKRA|55.0|0|8
137|5 Seconds Of Summer - Youngblood|54.5|0|10
138|Charli XCX - Out Of My Head (feat. Tove Lo & ALMA)|54.0|0|13
139|Charli XCX - Femmebot (feat. Dorian Electra & Mykki Blanco)|53.5|0|8
140|Lorde - Liability|53.0|0|7
141|Kacey Musgraves - Golden Hour|52.5|0|8
141|Bebe Rexha - Meant To Be (feat. Florida Georgia Line)|52.5|0|7
143|Kali Uchis - Flight 22|52.0|0|9
144|Rae Sremmurd - CLOSE (feat. Travis Scott)|51.5|1|5
145|Bleachers - Don't Take The Money|51.0|1|8
145|King Princess - 1950|51.0|0|8
145|Taylor Swift - Gorgeous|51.0|0|7
148|Kacey Musgraves - Slow Burn|50.5|0|13
148|Lorde - Sober|50.5|0|11
148|Carly Rae Jepsen - I Didn't Just Come Here To Dance|50.5|0|8
148|Kali Uchis - Feel Like a Fool|50.5|0|7
152|Dua Lipa - Blow Your Mind (Mwah)|50.0|1|7
